Období/Hodn.;Bez hodn.;4;3;2;1;F;E;D;C;B;A
LS 1997/98;8;0;3;4;2;0;0;0;0;0;0
LS 1998/99;20;0;3;7;5;0;0;0;0;0;0
LS 1999/00;5;0;2;7;4;0;0;0;0;0;0
LS 2000/01;4;0;2;2;2;0;0;0;0;0;0
ZS 2002/03;7;0;1;1;4;0;0;0;0;0;0
ZS 2003/04;7;0;6;15;16;0;0;0;0;0;0
ZS 2004/05;11;0;8;16;13;0;0;0;0;0;0
ZS 2005/06;8;0;8;16;20;0;0;0;0;0;0
ZS 2006/07;14;0;12;23;20;0;0;0;0;0;0
LS 2007/08;18;0;6;34;31;0;0;0;0;0;0
LS 2008/09;19;0;19;18;20;0;0;0;0;0;0
LS 2009/10;18;0;15;23;18;0;0;0;0;0;0
LS 2010/11;15;0;11;19;16;0;0;0;0;0;0
LS 2011/12;16;0;11;13;15;0;0;0;0;0;0
LS 2012/13;22;3;19;28;27;0;0;0;0;0;0
LS 2013/14;42;0;18;27;16;0;0;0;0;0;0
ZS 2014/15;7;0;5;2;4;0;0;0;0;0;0
LS 2014/15;42;0;20;22;11;0;0;0;0;0;0
LS 2015/16;32;0;0;0;0;0;7;6;10;5;7
LS 2016/17;19;0;0;0;0;0;4;6;10;11;9
LS 2017/18;18;0;0;0;0;0;5;3;10;5;8
LS 2018/19;21;0;0;0;0;0;14;17;11;9;9
LS 2019/20;27;0;0;0;0;0;12;9;12;8;13
LS 2020/21;22;0;0;0;0;0;9;3;30;10;11
